IATA,Airline,Country,ID
3D,Air People International,Thailand,121
2P,Air Philippines,Philippines,122
EB,Air Pullmantur,Spain,123
PJ,Air Saint Pierre,Saint-Pierre and Miquelon,124
6O,Air Satellite,Canada,125
V7,Air Senegal International,Senegal,126
G8,Air Service Gabon,Gabon,127
HM,Air Seychelles,Seychelles,128
4D,Air Sinai,Egypt,129
GM,Air Slovakia,Slovakia,130
WO,Air Southwest,United Kingdom,131
YI,Air Sunshine,USA,132
VT,Air Tahiti,French Polynesia,133
TN,Air Tahiti Nui,French Polynesia,134
TS,Air Transat,Canada,135
JY,Air Turks and Caicos,Turks & Caicos,136
U7,Air Uganda,Uganda,137
3N,Air Urga,Ukraine,138
DO,Air Vallée,Italy,139
NF,Air Vanuatu,Vanuatu,140
VL,Air VIA,Bulgaria,141
ZW,Air Wisconsin,USA,142
ZT,Air Zambezi,Zimbabwe,143
UM,Air Zimbabwe,Zimbabwe,144
F8,Air2there,New Zealand,145
AK,AirAsia,Malaysia,146
D7,AirAsia X,Malaysia,147
RU,AirBridgeCargo Airlines,Russia,148
SB,Aircalin,New Caledonia (France),149
4C,"Aires, Aerovias de Integracion Regional, S.A.",Colombia,150
P2,Airkenya Express,Kenya,151
A5,Airlinair,France,152
FO,Airlines Of Tasmania,Australia,153
CG,Airlines PNG,Papua New Guinea,154
4Z,Airlink,South Africa,155
TL,Airnorth,Australia,156
PL,Airstars,Russia,157
FL,AirTran Airways,USA,158
6L,Aklak Air,Canada,159
2D,Alania Airlines,Russia,160
AS,Alaska Airlines,USA,161
KO,Alaska Central Express,USA,162
LV,Albanian Airlines,Albania,163
2B,"Albawings	",Albania,164
D4,Alidaunia,Italy,165
AZ,Alitalia,Italy,166
XM,Alitalia Express,Italy,167
NH,All Nippon Airways,Japan,168
G4,Allegiant Air,USA,169
LL,Allegro,Mexico,170
QQ,Alliance Airlines,Australia,171
6T,Almaty Aviation,Kazakhstan,172
KH,Aloha Air Cargo,USA,173
5A,Alpine Air Express,USA,174
6R,Alrosa Mirny Air Enterprise,Russia,175
Z8,Amaszonas,Bolivia,176
AA,American Airlines,USA,177
MQ,American Eagle Airlines,USA,178
A8,Ameriflight,USA,179
M6,Amerijet International,USA,180
WD,Amsterdam Airlines,Netherlands,181
9N,ANA & JP Express,Japan,182
OY,Andes Líneas Aéreas,Argentina,183
8G,Angel Airlines,Thailand,184
5F,Arctic Circle Air Service,USA,185
ZE,Arcus-Air Logistic,Germany,186
FG,Ariana Afghan Airlines,Afghanistan,187
W3,Arik Air,Nigeria,188
OR,Arkefly,Netherlands,189
IZ,Arkia Israel Airlines,Israel,190
U8,Armavia,Armenia,191
JW,Arrow Air,USA,192
R7,Aserca Airlines,Venezuela,193
HJ,Asian Express Airlines,Australia,194
OZ,Asiana Airlines,South Korea,195
4K,Askari Aviation,Pakistan,196
ER,Astar Air Cargo,USA,197
5W,Astraeus,United Kingdom,198
OB,Astrakhan Airlines,Russia,199
8V,Astral Aviation,Kenya,200
ZF,Atlantic Airlines de Honduras,Honduras,201
RC,Atlantic Airways,Faroe Islands (Denmark),202
EV,Atlantic Southeast Airlines,USA,203
TD,Atlantis European Airways,Armenia,204
3G,Atlant-Soyuz Airlines,Russia,205
5Y,Atlas Air,USA,206
8A,Atlas Blue,Morocco,207
KK,Atlasjet,Turkey,208
V8,ATRAN Cargo Airlines,Russia,209
IP,Atyrau Air Ways,Kazakhstan,210
IQ,Augsburg Airways GmbH,Germany,211
GR,Aurigny Air Services,United Kingdom,212
AU,Austral Lineas Aereas,Argentina,213
OS,Austrian Airlines,Austria,214
VO,Austrian Arrows,Austria,215
TF,Avia Traffic Company,Kyrgyzstan,216
ZR,Aviacon Zitotrans,Russia,217
6A,Aviacsa,Mexico,218
7U,Aviaenergo,Russia,219
EC,Avialeasing Aviation Company,Uzbekistan,220
AV,"Avianca - Aerovias Nacionales de Colombia, S.A.",Colombia,221
4B,Aviastar-TU,Russia,222
Z3,Avient Aviation,Zimbabwe,223
U3,Avies,Estonia,224
JJ,Aviogenex,Serbia,225
9V,Avior Airlines,Venezuela,226
G2,Avirex,Gabon,227
6V,Axis Airways,France,228
J2,Azerbaijan Airlines,Azerbaijan,229
AD,Azul Brazilian Airlines,Brazil,230
JA,B&H Airlines,Bosnia-Hercegovina,231
CJ,BA CityFlyer,United Kingdom,232
B4,BACH Flugbetriebsgesellschaft mbH,Austria,233
UP,Bahamasair,Bahamas,234
PG,Bangkok Airways,Thailand,235
8N,Barents AirLink,Sweden,236
7P,Batavia Air,Indonesia,237
JV,Bearskin Lake Air Service,Canada,238
4T,Belair Airlines,Switzerland,239
B2,Belavia Belarusian Airlines,Belarus,240
LZ,Belle Air,Albania,241
B3,Bellview Airlines,Nigeria,242
CH,Bemidji Airlines,USA,243
8E,Bering Air,USA,244
J8,Berjaya Air,Malaysia,245
5Q,Best Air,Bangladesh,246
T1,Bestair TUR,Turkey,247
1B,BH Air,Bulgaria,248
BG,Biman Bangladesh Airlines,Bangladesh,249
NT,Binter Canarias,Spain,250
5Z,Bismillah Airlines,Bangladesh,251
0B,Blue Air,Romania,252
BZ,Blue Dart Aviation,India,253
SI,Blue Islands,United Kingdom,254
4Y,Blue Line,France,255
BV,Blue Panorama Airlines,Italy,256
QW,Blue Wings,Germany,257
KF,Blue1,Finland,258
BD,BMI Regional,United Kingdom,259
B8,Botir-Avia,Kyrgyzstan,260
K6,Bravo Air Congo,"Congo, Democratic Republic of the",261
FQ,Brindabella Airlines,Australia,262
DB,Brit Air,France,263
BA,British Airways,United Kingdom,264
BS,British International Helicopters,United Kingdom,265
SN,Brussels Airlines,Belgium,266
J4,Buffalo Airways,Canada,267
FB,Bulgaria Air,Bulgaria,268
1T,Bulgarian Air Charter,Nigeria,269
UZ,Buraq Air,Libya,270
4P,Business Aviation,"Congo, Democratic Republic of the",271
5C,CAL Cargo Air Lines,Israel,272
5T,Canadian North,Canada,273
C6,CanJet,Canada,274
9K,Cape Air,USA,275
PT,Capital Cargo International Airlines,USA,276
BB,Cargo B Airlines,Belgium,277
8L,Cargo Plus Aviation,United Arab Emirates,278
2G,Cargoitalia,Italy,279
W8,Cargojet Airways,Canada,280
B9,Caribair,Dominican Republic,281
BW,Caribbean Airlines,Trinidad & Tobago,282
V3,Carpatair,Romania,283
RV,Caspian Airlines,Iran,284
CX,Cathay Pacific,China - Peoples Republic,285
KX,Cayman Airways,Cayman Islands,286
XK,CCM Airlines,France,287
